model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.5176540109321909,0.0,0.0,0.0,0.5132331699672044,0.5159227172813063,0.4314976355938732,2.0,0.7505126341625497,42,platt,0.232,0.769
CNN (3-layer),0.5176540109321909,0.0,0.0,0.0,0.35278527668226034,0.46566664134059627,0.43368798726780106,3.0,0.7478299421706686,42,platt,0.061,0.749
Random Forest,0.5231939725217906,0.5088173054314602,0.33139356814701376,0.4013725308355745,0.5009526085261561,0.5557716741980936,0.28896212166893864,,,42,,,
Ensemble (avg),0.5176540109321909,0.0,0.0,0.0,0.501127938667338,0.5560361199687689,0.32160140213236654,,,42,,,
Ensemble (60%GRU),0.5176540109321909,0.0,0.0,0.0,0.501649307376562,0.5554167396517357,0.3374000925848216,,,42,,,
GRU (2-layer),0.8416123778501629,0.0,0.0,0.0,0.427634782871937,0.12644904231815646,0.1335539199270109,3.0,0.5179512229127189,43,platt,0.296,0.575
CNN (3-layer),0.8514861563517915,0.0,0.0,0.0,0.5130923506664613,0.1649598348062697,0.13006784922994633,2.0,0.5397865992660323,43,platt,0.309,0.683
Random Forest,0.7198697068403909,0.08964646464646464,0.09779614325068871,0.09354413702239789,0.4129415544929379,0.11955216419307566,0.18908577063695753,,,43,,,
Ensemble (avg),0.837235342019544,0.006711409395973154,0.0006887052341597796,0.0012492192379762648,0.4076724494214613,0.11893829163799757,0.14969020464695965,,,43,,,
Ensemble (60%GRU),0.8382532573289903,0.0,0.0,0.0,0.40773768392345466,0.11958400552699412,0.14460220520136596,,,43,,,
GRU (2-layer),0.7941415785191213,0.0,0.0,0.0,0.479769012739656,0.2010746078999567,0.1646527663111107,1.0,0.8203850583783512,44,platt,0.389,0.559
CNN (3-layer),0.7941415785191213,0.0,0.0,0.0,0.42785278839715757,0.1719170939684148,0.1675326566726118,1.0,1.041827796862043,44,platt,0.324,0.514
Random Forest,0.7765120694331434,0.15053763440860216,0.01844532279314888,0.03286384976525822,0.5065301311403414,0.20833375792361708,0.17922725752586702,,,44,,,
Ensemble (avg),0.7898020070518036,0.05555555555555555,0.0013175230566534915,0.002574002574002574,0.5067508432507541,0.20734618928118004,0.1677880524573675,,,44,,,
Ensemble (60%GRU),0.7937347436940602,0.0,0.0,0.0,0.5049927959207183,0.20649299184787667,0.16649668171433674,,,44,,,
GRU (2-layer),0.8716807123549054,0.0,0.0,0.0,0.6042781897000298,0.17542856595371276,0.11360681606926057,9.0,0.4753982192187598,45,platt,0.456,0.786
CNN (3-layer),0.8716807123549054,0.0,0.0,0.0,0.4264207927080946,0.12401130160017845,0.12198454865335749,3.0,0.367955933240327,45,platt,0.369,0.497
Random Forest,0.817618063285101,0.07711442786069651,0.03841387856257745,0.05128205128205128,0.4552085975188824,0.11241309565739753,0.1571935744572664,,,45,,,
Ensemble (avg),0.8716807123549054,0.0,0.0,0.0,0.4627900163970222,0.11280240437941358,0.12154931324954435,,,45,,,
Ensemble (60%GRU),0.8716807123549054,0.0,0.0,0.0,0.4665540529849407,0.11306310714193751,0.11774467269129253,,,45,,,
GRU (2-layer),0.28954534202491955,0.12403424514512425,0.84375,0.2162752594210814,0.5242572021328965,0.11837481577467389,0.364154192936144,1.0,1.2008149171317066,46,platt,0.45,0.588
CNN (3-layer),0.7111972935060649,0.20317820658342792,0.5085227272727273,0.29034874290348744,0.6188629759338318,0.22855555560940466,0.20479935835587432,7.0,0.6989663549595408,46,platt,0.345,0.794
Random Forest,0.8263058008086476,0.16263310745401743,0.11931818181818182,0.13764850471118395,0.5901685607828825,0.15564802335730907,0.15635482093826572,,,46,,,
Ensemble (avg),0.6262067827378497,0.15078299776286352,0.4786931818181818,0.2293297039809459,0.5736661705044093,0.13691208262530596,0.23072946055054352,,,46,,,
Ensemble (60%GRU),0.5440217839755755,0.14278278972935463,0.5845170454545454,0.2295036252091467,0.5630579836149753,0.13034275271168602,0.25269039960579787,,,46,,,
