model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,tab_dim,best_epoch,best_val_loss,seed,auc_ci_lo,auc_ci_hi
SW_only,0.5176540109321909,0.0,0.0,0.0,0.41516793102785177,0.43912035500133484,0.4243513858084512,0,6,0.749748,42,0.209,0.677
SW_inhaler,0.5176540109321909,0.0,0.0,0.0,0.7964719275105414,0.8348464354836672,0.39580578960580226,6,1,0.850704,42,0.543,0.96
SW_inhaler_pef,0.5176540109321909,0.0,0.0,0.0,0.7191618460984428,0.7603512050383581,0.3923434614993949,21,6,0.787187,42,0.373,0.845
Full,0.7758162210075343,0.9949022939677146,0.5379785604900459,0.69834012523606,0.6877676770193069,0.78689076136429,0.22697281914430442,87,1,0.444588,42,0.257,0.982
SW_only,0.8521986970684039,0.0,0.0,0.0,0.386136426156189,0.11262462592873541,0.13008759064030986,0,5,0.585644,43,0.245,0.469
SW_inhaler,0.6332451140065146,0.20908845009467136,0.5323691460055097,0.3002524762089726,0.6072451099625014,0.31807226656008164,0.19008734268681488,6,2,0.543005,43,0.364,0.908
SW_inhaler_pef,0.6423045602605864,0.21185019564002236,0.522038567493113,0.30139165009940355,0.5946459255500758,0.32842174031926086,0.19053176223404666,21,5,0.535362,43,0.276,0.928
Full,0.8473127035830619,0.48089171974522293,0.41597796143250687,0.4460856720827179,0.6623413641694273,0.42517535712419935,0.14517296216170103,87,1,0.549263,43,0.463,0.968
SW_only,0.7941415785191213,0.0,0.0,0.0,0.5054388323721895,0.21382306623612252,0.1635648918906222,0,1,0.829644,44,0.474,0.543
SW_inhaler,0.7971250339029021,0.5474137931034483,0.0836627140974967,0.14514285714285713,0.5809557846821746,0.3035792291767983,0.16571839496116417,6,4,0.664559,44,0.377,0.759
SW_inhaler_pef,0.7941415785191213,0.0,0.0,0.0,0.5020746038431356,0.23670079015687243,0.1662086828513314,21,1,0.749311,44,0.294,0.699
Full,0.7941415785191213,0.0,0.0,0.0,0.636683117705926,0.3274732378061058,0.16985200569649045,87,1,0.691386,44,0.438,0.707
SW_only,0.8716807123549054,0.0,0.0,0.0,0.5407586030116813,0.14104200241312342,0.11417414979667334,0,10,0.554073,45,0.422,0.712
SW_inhaler,0.8716807123549054,0.0,0.0,0.0,0.5919282075346736,0.18302582304833243,0.11378103418057765,6,6,0.375658,45,0.549,0.642
SW_inhaler_pef,0.8716807123549054,0.0,0.0,0.0,0.5884822107905698,0.24141998944589152,0.1120951201263965,21,1,0.492387,45,0.338,0.844
Full,0.8716807123549054,0.0,0.0,0.0,0.18043675211472765,0.07466704541779988,0.12630875094597627,87,1,0.410362,45,0.025,0.53
SW_only,0.17897516296724153,0.11906885479843025,0.9481534090909091,0.2115689381933439,0.5514228814260616,0.12881901215704206,0.3366178879432025,0,1,1.169567,46,0.481,0.599
SW_inhaler,0.7301757570756663,0.20274584929757344,0.4509943181818182,0.27973568281938327,0.5744682014984595,0.14857730677425604,0.2673973860456864,6,4,0.853456,46,0.496,0.621
SW_inhaler_pef,0.3723904612591798,0.13541176470588234,0.8174715909090909,0.23233750504642714,0.4995883586117925,0.11725623194570997,0.36870443638345146,21,2,1.174125,46,0.299,0.602
Full,0.7383447479164947,0.1798038503450781,0.3515625,0.23792357606344627,0.6873909561432172,0.3692797467251678,0.1857199115105719,87,1,0.400824,46,0.438,0.911
