threshold,input_length_days,washout_days,positive_candidates,positive_samples,positive_excluded_not_enough_history,negative_candidates,negative_samples,negative_excluded_positive_week_overlap,negative_excluded_event_overlap,negative_excluded_washout,total_samples,negative_excluded_total
2,1,0,63,60,3,1609,1595,14,0,0,1655,14
2,1,7,63,60,3,1609,1484,14,0,111,1544,125
2,1,14,63,60,3,1609,1374,14,0,221,1434,235
2,3,0,63,59,4,1580,1529,51,0,0,1588,51
2,3,7,63,59,4,1580,1419,51,0,110,1478,161
2,3,14,63,59,4,1580,1323,51,0,206,1382,257
2,5,0,63,57,6,1549,1459,90,0,0,1516,90
2,5,7,63,57,6,1549,1354,90,0,105,1411,195
2,5,14,63,57,6,1549,1271,90,0,188,1328,278
2,7,0,63,56,7,1517,1388,129,0,0,1444,129
2,7,7,63,56,7,1517,1290,129,0,98,1346,227
2,7,14,63,56,7,1517,1221,129,0,167,1277,296
2,14,0,63,54,9,1419,1191,228,0,0,1245,228
2,14,7,63,54,9,1419,1130,228,0,61,1184,289
2,14,14,63,54,9,1419,1067,228,0,124,1121,352
2,28,0,63,41,22,1267,920,347,0,0,961,347
2,28,7,63,41,22,1267,888,347,0,32,929,379
2,28,14,63,41,22,1267,853,347,0,67,894,414
3,1,0,63,61,2,1609,1595,14,0,0,1656,14
3,1,7,63,61,2,1609,1490,14,0,105,1551,119
3,1,14,63,61,2,1609,1380,14,0,215,1441,229
3,3,0,63,59,4,1580,1529,51,0,0,1588,51
3,3,7,63,59,4,1580,1425,51,0,104,1484,155
3,3,14,63,59,4,1580,1327,51,0,202,1386,253
3,5,0,63,56,7,1549,1459,90,0,0,1515,90
3,5,7,63,56,7,1549,1361,90,0,98,1417,188
3,5,14,63,56,7,1549,1275,90,0,184,1331,274
3,7,0,63,55,8,1517,1388,129,0,0,1443,129
3,7,7,63,55,8,1517,1297,129,0,91,1352,220
3,7,14,63,55,8,1517,1225,129,0,163,1280,292
3,14,0,63,53,10,1419,1191,228,0,0,1244,228
3,14,7,63,53,10,1419,1134,228,0,57,1187,285
3,14,14,63,53,10,1419,1071,228,0,120,1124,348
3,28,0,63,40,23,1267,920,347,0,0,960,347
3,28,7,63,40,23,1267,889,347,0,31,929,378
3,28,14,63,40,23,1267,854,347,0,66,894,413
4,1,0,63,62,1,1609,1595,14,0,0,1657,14
4,1,7,63,62,1,1609,1495,14,0,100,1557,114
4,1,14,63,62,1,1609,1384,14,0,211,1446,225
4,3,0,63,60,3,1580,1529,51,0,0,1589,51
4,3,7,63,60,3,1580,1430,51,0,99,1490,150
4,3,14,63,60,3,1580,1331,51,0,198,1391,249
4,5,0,63,58,5,1549,1459,90,0,0,1517,90
4,5,7,63,58,5,1549,1366,90,0,93,1424,183
4,5,14,63,58,5,1549,1279,90,0,180,1337,270
4,7,0,63,57,6,1517,1388,129,0,0,1445,129
4,7,7,63,57,6,1517,1302,129,0,86,1359,215
4,7,14,63,57,6,1517,1230,129,0,158,1287,287
4,14,0,63,55,8,1419,1191,228,0,0,1246,228
4,14,7,63,55,8,1419,1139,228,0,52,1194,280
4,14,14,63,55,8,1419,1076,228,0,115,1131,343
4,28,0,63,42,21,1267,920,347,0,0,962,347
4,28,7,63,42,21,1267,894,347,0,26,936,373
4,28,14,63,42,21,1267,859,347,0,61,901,408
