feature,importance
hr_std,0.06410876
steps_mean,0.061498262
day_active_frac,0.05532728
active_minute_frac,0.05193303
hr_median,0.042810317
night_steps_sum,0.04255597
intensity_std,0.042115897
hr_missing_pct,0.040642925
night_hr_mean,0.040551446
activity_frac_walk,0.038498696
steps_max,0.03668426
activity_frac_activity_high,0.035743404
day_steps_sum,0.03366656
intensity_max,0.033184066
hr_max,0.032052394
day_hr_mean,0.032032534
activity_frac_sleep,0.03113766
observed_minutes,0.030978043
night_active_frac,0.030026821
activity_frac_running,0.028522043
hr_min,0.027532645
activity_frac_unknown,0.025895817
intensity_mean,0.024596306
activity_frac_not_worn,0.021524666
activity_frac_sedentary,0.021510005
hr_mean,0.020833187
steps_sum,0.019751215
activity_frac_charging,0.014969314
hr_slope,0.011260342
steps_slope,0.0080560455
n_rows_in_window,0.0
coverage,0.0
