model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.6923158452570217,0.0,0.0,0.0,0.6505165539207176,0.45560702731010994,0.2387050985774801,1.0,1.5466690124571323,42,platt,0.394,0.744
CNN (3-layer),0.6923158452570217,0.0,0.0,0.0,0.3595736530341419,0.2324287445467553,0.24147440781177426,1.0,3.013657153341919,42,platt,0.224,0.551
Random Forest,0.6947535771065183,0.5225933202357563,0.09162934894936273,0.1559202813599062,0.5430663139826846,0.36362536380302596,0.24909256382704578,,,42,,,
Ensemble (avg),0.6941176470588235,0.9047619047619048,0.006544953496383052,0.012995896032831737,0.5561084685711657,0.3705135249649357,0.2368972400664022,,,42,,,
Ensemble (60%GRU),0.6923158452570217,0.0,0.0,0.0,0.5627795664640691,0.3741788424432346,0.23613855718688007,,,42,,,
GRU (2-layer),0.9236680327868853,0.0,0.0,0.0,0.3039093432397657,0.051930262173680346,0.08169327397090052,7.0,0.5668719311058521,43,platt,0.249,0.417
CNN (3-layer),0.9228142076502732,0.0,0.0,0.0,0.2356516585374529,0.0466275119215306,0.07625232404351358,1.0,0.4595794630795717,43,platt,0.18,0.459
Random Forest,0.8183060109289617,0.026113671274961597,0.03803131991051454,0.030965391621129327,0.3351179966440885,0.05329209210533634,0.14114412864643783,,,43,,,
Ensemble (avg),0.9074453551912568,0.0,0.0,0.0,0.32686429072765044,0.05270938004729432,0.1007112077847028,,,43,,,
Ensemble (60%GRU),0.9192281420765027,0.0,0.0,0.0,0.32344716714168076,0.05247269148923861,0.09519442205810773,,,43,,,
GRU (2-layer),0.7908415841584159,0.23096774193548386,0.2998324958123953,0.260932944606414,0.6211101378451892,0.16631044387728353,0.19361838864681533,3.0,2.3179508076523834,44,platt,0.579,0.638
CNN (3-layer),0.5503300330033003,0.17414573898723754,0.7085427135678392,0.2795769993390615,0.6863859405236014,0.21992051644979269,0.248046047318197,1.0,1.2148743991581898,44,platt,0.524,0.74
Random Forest,0.8263201320132013,0.06405693950177936,0.03015075376884422,0.04100227790432802,0.5083663435975455,0.11394603198762579,0.14466224984982623,,,44,,,
Ensemble (avg),0.8205445544554455,0.014234875444839857,0.006700167504187605,0.009111617312072893,0.569519754342953,0.1302439319224317,0.1549545452473444,,,44,,,
Ensemble (60%GRU),0.8162128712871287,0.01644736842105263,0.008375209380234505,0.011098779134295227,0.5834575527996761,0.13562008433014713,0.16041759008708237,,,44,,,
GRU (2-layer),0.6525843392138657,0.0,0.0,0.0,0.5083439445705235,0.321066332048344,0.2504240163437129,1.0,1.6110713574793432,45,platt,0.296,0.637
CNN (3-layer),0.6778087279480037,0.5240058910162003,0.7924276169265033,0.6308510638297873,0.7400527507442831,0.5351208396803484,0.19036369209287432,8.0,0.8449085271590716,45,platt,0.393,0.841
Random Forest,0.6765707211389662,0.5275115370962017,0.6619153674832963,0.5871197155274595,0.7446878764656577,0.5570363707434917,0.20769903808947315,,,45,,,
Ensemble (avg),0.663107397090684,0.5582191780821918,0.14521158129175946,0.2304701307882644,0.7468061452398896,0.5496759390658862,0.19842794745360237,,,45,,,
Ensemble (60%GRU),0.6545961002785515,1.0,0.005790645879732739,0.011514614703277236,0.7443602176575563,0.5405300038453172,0.20392578846954595,,,45,,,
GRU (2-layer),0.9611528822055138,0.046052631578947366,0.14583333333333334,0.07,0.7172204641350212,0.027226169000408675,0.0867156285263343,5.0,1.7688190745133343,46,platt,0.581,0.761
CNN (3-layer),0.9895572263993316,0.0,0.0,0.0,0.2981957630098453,0.006748711191480636,0.02381996749385595,1.0,1.2219677793257164,46,platt,0.254,0.402
Random Forest,0.9565580618212197,0.0,0.0,0.0,0.8244505977496484,0.036012642808145284,0.048891575473401575,,,46,,,
Ensemble (avg),0.9667919799498746,0.0,0.0,0.0,0.8531162095639944,0.03711327341477268,0.06154428378122225,,,46,,,
Ensemble (60%GRU),0.9628237259816207,0.0,0.0,0.0,0.841587552742616,0.03483064410534029,0.06557706181526135,,,46,,,
