,count,mean,std,min,25%,50%,75%,max,missing_pct
active_minute_frac,33812.0,0.12707265087688852,0.06989002455624083,0.0,0.07430555555555556,0.125,0.17083333333333334,0.42135922330097086,0.0
activity_frac_activity_high,33812.0,0.010888395329016884,0.00824806847532473,0.0,0.004861111111111111,0.009722222222222222,0.015277777777777777,0.05694444444444444,0.0
activity_frac_charging,33812.0,0.01576263475933406,0.07884091665541648,0.0,0.0,0.0,0.0,1.0,0.0
activity_frac_not_worn,33812.0,2.3751862097443753e-05,0.00014312582185559806,0.0,0.0,0.0,0.0,0.002777777777777778,0.0
activity_frac_running,33812.0,0.0019745888939864857,0.009926531171726627,0.0,0.0,0.0,0.0,0.1486111111111111,0.0
activity_frac_sedentary,33812.0,0.4272783113726364,0.13327945821390805,0.0,0.37569444444444444,0.45555555555555555,0.5145833333333333,0.8045757864632984,0.0
activity_frac_sleep,33812.0,0.3302505397246604,0.13266970938596068,0.0,0.29583333333333334,0.3451388888888889,0.40347222222222223,0.7708333333333334,0.0
activity_frac_unknown,33812.0,0.09961211140438324,0.21903971509767112,0.0,0.002777777777777778,0.009027777777777777,0.04861111111111111,1.0,0.0
activity_frac_walk,33812.0,0.11420966665388516,0.06237856639187587,0.0,0.06704231021575072,0.11180555555555556,0.15416666666666667,0.3819444444444444,0.0
anchor_relative_minute,33812.0,104532.90183958357,73297.66587414117,1440.0,42092.0,87812.0,160200.25,264914.0,0.0
coverage,33812.0,0.9945925879372215,0.03197412744350811,0.7006944444444444,1.0,1.0,1.0,1.0,0.0
day_active_frac,33812.0,0.18308978167538634,0.10253944467566262,0.0,0.103125,0.18125,0.24895833333333334,0.5519848771266541,0.0
day_hr_mean,33076.0,85.97879619047106,9.77095418524222,1.0,80.76470947265625,86.56521606445312,91.8857421875,150.2624969482422,2.1767419850940497
day_steps_sum,33812.0,6604.3994140625,5761.453125,0.0,2419.25,5211.5,9169.25,50271.0,0.0
hr_max,33181.0,119.73364274735542,17.477556377592396,1.0,110.0,118.0,127.0,195.0,1.8662013486336213
hr_mean,33181.0,81.62105019900702,9.750218233241759,1.0,77.14484405517578,82.39688110351562,87.15254211425781,144.48255920410156,1.8662013486336213
hr_median,33181.0,80.59458726379555,10.834933189057953,1.0,75.0,81.0,86.0,153.0,1.8662013486336213
hr_min,33181.0,16.62541816099575,25.36735960170543,1.0,1.0,1.0,47.0,105.0,1.8662013486336213
hr_missing_pct,33812.0,0.2566837915861562,0.1960496779304966,0.01736111111111116,0.15763888888888888,0.17986111111111114,0.25,1.0,0.0
hr_slope,33028.0,-0.03086404470571338,1.399850580574848,-69.00000000000898,-0.011631425041536012,9.466365810715837e-05,0.010781356021783855,3.3999999999990074,2.318703418904531
hr_std,33028.0,15.152345876280384,5.217180149227916,0.0,11.776644706726074,14.486968040466309,17.40732192993164,74.95331573486328,2.318703418904531
intensity_max,33812.0,142.83163452148438,38.911712646484375,0.0,126.0,137.0,154.0,255.0,0.0
intensity_mean,33812.0,26.600231170654297,8.951859474182129,0.0,21.931076049804688,27.398263931274414,32.19270706176758,69.58446502685547,0.0
intensity_std,33812.0,29.999427795410156,8.584585189819336,0.0,26.39014768600464,30.148988723754883,33.70351505279541,80.45838928222656,0.0
n_rows_in_window,33812.0,1432.213326629599,46.042743518651676,1009.0,1440.0,1440.0,1440.0,1440.0,0.0
night_active_frac,33812.0,0.015430066348826378,0.022766343189076294,0.0,0.0020833333333333333,0.008333333333333333,0.01875,0.3577981651376147,0.0
night_hr_mean,31566.0,67.18752621265975,9.952496694811085,1.0,63.03855514526367,68.2491683959961,72.48025131225586,101.34782409667969,6.642612090382113
night_steps_sum,33812.0,175.08413696289062,390.5249328613281,0.0,15.0,67.0,163.0,3727.0,0.0
observed_minutes,33812.0,1432.213326629599,46.042743518651676,1009.0,1440.0,1440.0,1440.0,1440.0,0.0
steps_max,33812.0,105.64503479003906,32.38605880737305,0.0,96.0,112.0,121.0,244.0,0.0
steps_mean,33812.0,4.7343058586120605,4.064262390136719,0.0,1.8097221851348877,3.7322916984558105,6.543229103088379,35.08541488647461,0.0
steps_slope,33812.0,2.2287009107562034e-05,0.00985213264912228,-0.10360284823632715,-0.0033051633094601835,0.0,0.003518400656700418,0.09963823164459468,0.0
steps_sum,33812.0,6779.4833984375,5823.37548828125,0.0,2574.75,5352.0,9383.25,50523.0,0.0
user_key,33812.0,500.24872826215545,266.12203221926876,113.0,294.0,473.0,702.0,939.0,0.0
window_end_minute,33812.0,104532.90183958357,73297.66587414117,1440.0,42092.0,87812.0,160200.25,264914.0,0.0
window_start_minute,33812.0,103092.90183958357,73297.66587414117,0.0,40652.0,86372.0,158760.25,263474.0,0.0
