model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
Logistic Regression,0,0.43212485774670784,0.22391857506361323,0.09289232934553132,0.13131061924894305,0.31036003359357933,0.3456846327609986,0.44873150616300683
Logistic Regression,1,0.6612251495070308,0.8130584192439863,0.6038795303726391,0.69302870533099,0.7699335946173778,0.8143494679308306,0.21924408603805146
Logistic Regression,2,0.6686668829062601,0.24933827421916357,0.42974452554744524,0.3155778894472362,0.6464694999928016,0.29124341392233655,0.21454273242874308
Logistic Regression,3,0.6989574979951885,0.1525974025974026,0.47554806070826305,0.23105284719377303,0.6347661749119619,0.14654385106276022,0.2046187345140445
Logistic Regression,4,0.7939242092076417,0.1727447216890595,0.09230769230769231,0.12032085561497326,0.3513556904501277,0.13519470470340053,0.17997046786734003
Random Forest,0,0.4839863436839538,0.1937269372693727,0.03694581280788178,0.06205673758865248,0.372714978385139,0.3671186042605996,0.37100424135352084
Random Forest,1,0.7942459996767416,0.9312031300945549,0.7289433384379785,0.8177523264137437,0.9076667766786332,0.9299288296622643,0.1754768625755279
Random Forest,2,0.7972753811222835,0.40399002493765584,0.2956204379562044,0.34141201264488935,0.6979730848414173,0.38853746647151777,0.15748992396284006
Random Forest,3,0.8644747393744988,0.043478260869565216,0.02023608768971332,0.02761795166858458,0.6889666934273364,0.14293482247437614,0.13467764425615303
Random Forest,4,0.8455997494519261,0.3333333333333333,0.011282051282051283,0.021825396825396824,0.3943158523236143,0.14356114111404095,0.15300721214543783
