experiment,family,roc_auc_mean,roc_auc_std,delta_auc,pr_auc_mean,f1_mean,n_seeds
LSTM_SW_inhaler_pef (locked),Baseline,0.634,0.062,0.0,,,5
LSTM_baseline (focused),DL variants,0.6246,0.0589,-0.0094,0.3347,0.1158,5
LSTM_A1_per_patient_norm (focused),DL variants,0.6231,0.0634,-0.0109,0.3255,0.0804,5
GBM_RandomForest_ENG_inhaler,Tabular GBM/RF,0.5822,0.0792,-0.0518,0.2921,0.061,5
LightGBM_ENG_inhaler,LightGBM (early-stop),0.5786,0.0401,-0.0554,0.2897,0.0481,5
GBM_XGBoost_ENG_inhaler,Tabular GBM/RF,0.5588,0.0529,-0.0752,0.2827,0.0441,5
GBM_LightGBM_ENG_inhaler,Tabular GBM/RF,0.554,0.0577,-0.08,0.2825,0.0418,5
Stack_stack_LR_meta,Stacking,0.5537,0.0767,-0.0803,0.2803,0.0616,5
GBM_LightGBM_ENG_inhaler_pef,Tabular GBM/RF,0.5531,0.0664,-0.0809,0.2847,0.0429,5
Stack_stack_weighted_val_auc,Stacking,0.5529,0.0734,-0.0811,0.2822,0.0452,5
Stack_stack_avg,Stacking,0.5526,0.0732,-0.0814,0.2821,0.0452,5
GBM_XGBoost_ENG_inhaler_pef,Tabular GBM/RF,0.5486,0.0629,-0.0854,0.283,0.0621,5
GBM_RandomForest_ENG_inhaler_pef,Tabular GBM/RF,0.5481,0.0825,-0.0859,0.2773,0.051,5
LightGBM_ENG_inhaler_pef,LightGBM (early-stop),0.5391,0.1074,-0.0949,0.2829,0.0428,5
LightGBM_ENG_only,LightGBM (early-stop),0.5179,0.0518,-0.1161,0.2353,0.0416,5
GBM_RandomForest_ENG_MM_full,Tabular GBM/RF,0.5061,0.2374,-0.1279,0.312,0.2167,5
GBM_RandomForest_MM_full,Tabular GBM/RF,0.5051,0.2929,-0.1289,0.3455,0.1504,5
GBM_XGBoost_ENG_only,Tabular GBM/RF,0.5035,0.0599,-0.1305,0.2318,0.0416,5
GBM_LightGBM_ENG_only,Tabular GBM/RF,0.489,0.0523,-0.145,0.2299,0.0416,5
GBM_LightGBM_MM_inhaler_pef,Tabular GBM/RF,0.4808,0.1873,-0.1532,0.253,0.0194,5
GBM_XGBoost_MM_inhaler_pef,Tabular GBM/RF,0.4698,0.1714,-0.1642,0.2571,0.0273,5
GBM_RandomForest_ENG_only,Tabular GBM/RF,0.4693,0.0611,-0.1647,0.2155,0.0416,5
GBM_RandomForest_MM_inhaler_pef,Tabular GBM/RF,0.4542,0.1724,-0.1798,0.2512,0.0264,5
GBM_LightGBM_MM_full,Tabular GBM/RF,0.4529,0.1415,-0.1811,0.2171,0.0416,5
LightGBM_MM_inhaler_pef,LightGBM (early-stop),0.4289,0.158,-0.2051,0.2304,0.0352,5
GBM_XGBoost_MM_full,Tabular GBM/RF,0.4268,0.1782,-0.2072,0.1986,0.0416,5
LightGBM_MM_full,LightGBM (early-stop),0.413,0.1947,-0.221,0.2228,0.0416,5
GBM_LightGBM_ENG_MM_full,Tabular GBM/RF,0.4066,0.1334,-0.2274,0.182,0.0416,5
LightGBM_ENG_full,LightGBM (early-stop),0.4044,0.219,-0.2296,0.2691,0.0416,5
GBM_XGBoost_ENG_MM_full,Tabular GBM/RF,0.4016,0.1526,-0.2324,0.1867,0.0416,5
