config,held_out_user,n_test,n_test_pos,roc_auc,pr_auc
rf_all_T4_L14_W7,113,29,18,0.2398989898989899,0.5636591675485606
rf_all_T4_L14_W7,190,152,0,,
rf_all_T4_L14_W7,278,1,0,,
rf_all_T4_L14_W7,294,23,9,0.6468253968253969,0.6084914883827928
rf_all_T4_L14_W7,343,134,1,0.48120300751879697,0.013888888888888888
rf_all_T4_L14_W7,398,21,0,,
rf_all_T4_L14_W7,447,52,3,0.9965986394557823,0.9166666666666666
rf_all_T4_L14_W7,473,106,1,0.7952380952380953,0.04
rf_all_T4_L14_W7,514,129,0,,
rf_all_T4_L14_W7,562,21,0,,
rf_all_T4_L14_W7,625,34,1,1.0,1.0
rf_all_T4_L14_W7,701,115,4,0.4414414414414415,0.04124255952380952
rf_all_T4_L14_W7,702,145,0,,
rf_all_T4_L14_W7,764,36,0,,
rf_all_T4_L14_W7,808,52,2,0.645,0.07631578947368421
rf_all_T4_L14_W7,867,12,12,,1.0
rf_all_T4_L14_W7,917,14,0,,
rf_all_T4_L14_W7,939,118,4,0.5230263157894737,0.045422973253161934
xgb_smartinhaler_T4_L14_W14,113,22,18,0.6666666666666666,0.8978509145175813
xgb_smartinhaler_T4_L14_W14,190,152,0,,
xgb_smartinhaler_T4_L14_W14,278,1,0,,
xgb_smartinhaler_T4_L14_W14,294,9,9,,1.0
xgb_smartinhaler_T4_L14_W14,343,127,1,0.0,0.007874015748031496
xgb_smartinhaler_T4_L14_W14,398,21,0,,
xgb_smartinhaler_T4_L14_W14,447,45,3,0.5714285714285714,0.09956575682382135
xgb_smartinhaler_T4_L14_W14,473,99,1,0.9744897959183673,0.16666666666666666
xgb_smartinhaler_T4_L14_W14,514,129,0,,
xgb_smartinhaler_T4_L14_W14,562,21,0,,
xgb_smartinhaler_T4_L14_W14,625,34,1,0.7272727272727273,0.058823529411764705
xgb_smartinhaler_T4_L14_W14,701,108,4,0.4375,0.04040404040404041
xgb_smartinhaler_T4_L14_W14,702,145,0,,
xgb_smartinhaler_T4_L14_W14,764,36,0,,
xgb_smartinhaler_T4_L14_W14,808,45,2,0.5,0.044444444444444446
xgb_smartinhaler_T4_L14_W14,867,12,12,,1.0
xgb_smartinhaler_T4_L14_W14,917,14,0,,
xgb_smartinhaler_T4_L14_W14,939,111,4,0.294392523364486,0.03287008281573499
