config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
rf_all_T4_L14_W7,0,0.5575671491485172,0.2050453468390498,6.83
rf_all_T4_L14_W7,1,0.3378912078632066,0.1120843963759678,6.99
rf_all_T4_L14_W7,2,0.2825494337786429,0.10024984669279806,6.44
rf_all_T4_L14_W7,3,0.27033138401559453,0.13640721070762357,6.44
rf_all_T4_L14_W7,4,0.12455524853301872,0.0753381566129908,6.34
rf_all_T4_L14_W7,5,0.2514570609265604,0.051548547057034766,6.63
rf_all_T4_L14_W7,6,0.15698768661477605,0.14039376493260838,7.04
rf_all_T4_L14_W7,7,0.7491056806139815,0.35174738909156555,6.22
rf_all_T4_L14_W7,8,0.2736975549027199,0.073215465180816,6.68
rf_all_T4_L14_W7,9,0.25623752495009977,0.11199904109343012,7.61
rf_all_T4_L14_W7,10,0.5106343819579113,0.23928460900416884,7.44
rf_all_T4_L14_W7,11,0.2344380391471804,0.059239428389553685,7.02
rf_all_T4_L14_W7,12,0.42578524395730233,0.13385152261064612,6.89
rf_all_T4_L14_W7,13,0.394780707120137,0.07981091596575701,6.4
rf_all_T4_L14_W7,14,0.3908635700166645,0.19338662282837998,7.42
rf_all_T4_L14_W7,15,0.5692326254826254,0.07532768264112505,7.19
rf_all_T4_L14_W7,16,0.3486379794973545,0.03799677395823528,6.71
rf_all_T4_L14_W7,17,0.6458932681242807,0.10938668364439356,7.14
rf_all_T4_L14_W7,18,0.3003000289184499,0.07433365914296632,7.1
rf_all_T4_L14_W7,19,0.23214360873774148,0.09604773600990658,6.92
rf_all_T4_L14_W7,20,0.22194056174155677,0.09803981084258753,7.53
rf_all_T4_L14_W7,21,0.46172408441961516,0.11059423505866531,8.0
rf_all_T4_L14_W7,22,0.5218358346048447,0.13784924031485007,6.08
rf_all_T4_L14_W7,23,0.1942599720823992,0.09936435058776333,5.89
rf_all_T4_L14_W7,24,0.35617431709377645,0.1069749549994447,6.03
rf_all_T4_L14_W7,25,0.3072312801932367,0.07332759948552556,5.83
rf_all_T4_L14_W7,26,0.21666900322444976,0.09053236663702453,5.52
rf_all_T4_L14_W7,27,0.4054180833438683,0.09559842787107217,5.62
rf_all_T4_L14_W7,28,0.22216610691649202,0.10723455149967434,5.39
rf_all_T4_L14_W7,29,0.13383278134381735,0.11286804105373903,5.46
rf_all_T4_L14_W7,30,0.4534010263129163,0.10234078231035053,5.84
rf_all_T4_L14_W7,31,0.173495029455081,0.11228138803241809,5.53
rf_all_T4_L14_W7,32,0.360008033520257,0.12910761646043162,5.32
rf_all_T4_L14_W7,33,0.3213296036808533,0.08776718208328968,5.33
rf_all_T4_L14_W7,34,0.5444997571636717,0.04931584392138279,5.25
rf_all_T4_L14_W7,35,0.30964068825910934,0.0748808483297621,5.72
rf_all_T4_L14_W7,36,0.16344482992910958,0.08125539352864809,5.58
rf_all_T4_L14_W7,37,0.226802572339367,0.08248818463461133,5.16
rf_all_T4_L14_W7,38,0.4771633621616258,0.06192498806517447,5.18
rf_all_T4_L14_W7,39,0.3314402970490521,0.07018561176720584,5.22
rf_all_T4_L14_W7,40,0.20825339410751165,0.037872058877699094,5.14
rf_all_T4_L14_W7,41,0.6650034085744584,0.09123084672091417,5.37
rf_all_T4_L14_W7,42,0.24500808816095443,0.13854689292323458,5.59
rf_all_T4_L14_W7,43,0.3379809456814289,0.1055326059779933,5.4
rf_all_T4_L14_W7,44,0.6214463370515526,0.17926787389618712,5.23
rf_all_T4_L14_W7,45,0.3238976794227309,0.03413789328322974,5.28
rf_all_T4_L14_W7,46,0.13606634303535167,0.12550237505229525,5.75
rf_all_T4_L14_W7,47,0.582703152111047,0.1232611036463215,5.67
rf_all_T4_L14_W7,48,0.4364343633574403,0.13359019567225336,5.31
rf_all_T4_L14_W7,49,0.30660805084745757,0.14606925959971984,5.39
rf_all_T4_L14_W7,50,0.291598669344715,0.06564008947238414,5.24
rf_all_T4_L14_W7,51,0.4644606210021322,0.2377027396312405,5.39
rf_all_T4_L14_W7,52,0.5902031063321386,0.1329970377610232,5.28
rf_all_T4_L14_W7,53,0.3169503631508789,0.1504594684632125,5.59
rf_all_T4_L14_W7,54,0.38725564594463335,0.0848981415398164,5.39
rf_all_T4_L14_W7,55,0.5073602490771165,0.16150150437785138,5.61
rf_all_T4_L14_W7,56,0.1664338919925512,0.0598786971952128,5.82
rf_all_T4_L14_W7,57,0.3930975180769982,0.07978287093242155,5.53
