model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
Logistic Regression,0,0.43212485774670784,0.22391857506361323,0.09289232934553132,0.13131061924894305,0.31036003359357933,0.3456846327609986,0.44873150616243895
Logistic Regression,1,0.6612251495070308,0.8130584192439863,0.6038795303726391,0.69302870533099,0.7699334821307047,0.8143494379253506,0.219244094033697
Logistic Regression,2,0.6686668829062601,0.24933827421916357,0.42974452554744524,0.3155778894472362,0.6464694999928016,0.29124341392233655,0.2145427324511978
Logistic Regression,3,0.6989574979951885,0.1525974025974026,0.47554806070826305,0.23105284719377303,0.6347661749119619,0.14654385106276022,0.2046187375274478
Logistic Regression,4,0.7939242092076417,0.1727447216890595,0.09230769230769231,0.12032085561497326,0.3513556904501277,0.1351946943555568,0.1799706213061157
Random Forest,0,0.4836611933019021,0.1918819188191882,0.036593947923997186,0.061465721040189124,0.37173381873460926,0.36681339442399546,0.3715545966242299
Random Forest,1,0.7942459996767416,0.9312031300945549,0.7289433384379785,0.8177523264137437,0.907643716910639,0.9299011444176991,0.17548340772335996
Random Forest,2,0.7966266623418748,0.4024691358024691,0.29744525547445255,0.34207764952780695,0.6958579881656803,0.3859671478818222,0.15814940579996675
Random Forest,3,0.863672814755413,0.036101083032490974,0.016863406408094434,0.022988505747126436,0.6849528918560088,0.14110850252231194,0.1348579192062159
Random Forest,4,0.8452865643595365,0.3142857142857143,0.011282051282051283,0.02178217821782178,0.3939378947917111,0.14380815471796424,0.15330433017582917
XGBoost,0,0.4706551780198342,0.20679886685552407,0.05137227304714989,0.08229988726042842,0.3005759780386973,0.34439866319957674,0.4736286401748657
XGBoost,1,0.6285760465492161,0.8543307086614174,0.498468606431853,0.6295938104448743,0.7687471414324187,0.8317423564141506,0.25191742181777954
XGBoost,2,0.776192020759001,0.35269709543568467,0.3102189781021898,0.3300970873786408,0.6758738068500841,0.33172901227428697,0.16345712542533875
XGBoost,3,0.8060946271050521,0.22,0.40809443507588533,0.28588304784406376,0.7363534034371221,0.18311871715165676,0.13919410109519958
XGBoost,4,0.8351080488568744,0.09375,0.009230769230769232,0.01680672268907563,0.3922596420397197,0.12277509829900637,0.1556902676820755
