threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
4,14,7,671,184,339,50,1,4,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,15,0.3624448242286841,0.8913043478260869,0.047619047619047616,1.0,0.09090909090909091,1.0,1.0,0.08621160176091536,0.9882005899705014,0.0,0.0,0.0,0.9708955223880598,0.2875,0.011608710290348814
3,14,7,665,184,338,48,1,4,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,6,0.495350190748771,0.8043478260869565,0.02702702702702703,1.0,0.05263157894736842,1.0,1.0,0.15389063198239109,0.9881656804733728,0.0,0.0,0.0,0.8592814371257484,0.060004537205081664,0.011690805135601655
3,14,0,710,184,350,48,1,4,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,9,0.5615495244661967,0.7717391304347826,0.023255813953488372,1.0,0.045454545454545456,1.0,1.0,0.17477614591388324,0.9885714285714285,0.0,0.0,0.0,0.8843930635838151,0.20989047907007996,0.011280197825875853
2,14,7,664,184,336,51,1,2,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.6094854002197584,0.717391304347826,0.018867924528301886,1.0,0.037037037037037035,0.994535519125683,0.5,0.19404355829942424,0.9940476190476191,0.0,0.0,0.0,0.6347305389221557,0.021274961597542243,0.005913238632687083
4,14,14,622,184,325,50,1,4,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,12,0.3674744001279275,0.8967391304347826,0.05,1.0,0.09523809523809523,0.9836065573770492,0.25,0.08429996427300006,0.9876923076923076,0.0,0.0,0.0,0.9291277258566978,0.33515580331618067,0.012108851464440382
3,7,0,854,203,386,49,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,20,0.164858271500894,0.9704433497536946,0.14285714285714285,1.0,0.25,0.9826732673267327,0.16666666666666666,0.01823000235464187,0.9870466321243523,0.0,0.0,0.0,0.5490813648293963,0.021011536310965785,0.01284953989164404
3,14,7,665,184,338,48,1,4,72,42,cnn,dropout=0.2,,,0.2,4,0.2013807731370131,0.967391304347826,0.0,0.0,0.0,0.9726775956284153,0.16666666666666666,0.03199733790100517,0.9881656804733728,0.0,0.0,0.0,0.6766467065868264,0.0798893888263967,0.011729715826791871
3,14,14,616,184,324,48,1,4,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,12,0.5223589930683374,0.8260869565217391,0.030303030303030304,1.0,0.058823529411764705,0.9562841530054644,0.1111111111111111,0.13629774912987308,0.9876543209876543,0.0,0.0,0.0,0.921875,0.17744208494208494,0.012173959438375763
4,14,14,622,184,325,50,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,5,0.3872377686202526,0.8152173913043478,0.02857142857142857,1.0,0.05555555555555555,0.9562841530054644,0.1111111111111111,0.12430729132661388,0.9876923076923076,0.0,0.0,0.0,0.970404984423676,0.5679824561403508,0.012146968773195382
4,14,0,712,184,350,50,1,4,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,13,0.6235403791069984,0.6684782608695652,0.016129032258064516,1.0,0.031746031746031744,0.9562841530054644,0.1111111111111111,0.21829331230434698,0.9885714285714285,0.0,0.0,0.0,0.5997109826589595,0.017905606959330078,0.011336152156001408
