threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.7964123657771519,0.35023041474654376,0.0,0.0,0.0,0.2314814814814815,0.005780346820809248,0.2703678820351541,0.9926470588235294,0.0,0.0,0.0,0.4699588477366255,0.00988339594477702,0.007306765488228819
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.7964123657771519,0.35023041474654376,0.0,0.0,0.0,0.2314814814814815,0.005780346820809248,0.2703678820351541,0.9926470588235294,0.0,0.0,0.0,0.4699588477366255,0.00988339594477702,0.007306765488228819
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.758109952722277,0.3870967741935484,0.0,0.0,0.0,0.2962962962962963,0.006289308176100629,0.25194537155120905,0.9926470588235294,0.0,0.0,0.0,0.40329218106995884,0.007868867243867244,0.007306675138118499
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7582332066127232,0.3824884792626728,0.0,0.0,0.0,0.28703703703703703,0.006211180124223602,0.2520254043681752,0.9926470588235294,0.0,0.0,0.0,0.3744855967078189,0.007496692770072644,0.007306675980589032
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.894749539239066,0.12442396313364056,0.005235602094240838,1.0,0.010416666666666666,0.21296296296296297,0.005649717514124294,0.31970462890813517,0.9926470588235294,0.0,0.0,0.0,0.7917695473251029,0.12543859649122807,0.007306572340306747
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.894749539239066,0.12442396313364056,0.005235602094240838,1.0,0.010416666666666666,0.21296296296296297,0.005649717514124294,0.31970462890813517,0.9926470588235294,0.0,0.0,0.0,0.7917695473251029,0.12543859649122807,0.007306572340306747
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.7879188912255424,0.11981566820276497,0.005208333333333333,1.0,0.010362694300518135,0.16203703703703703,0.005319148936170213,0.266973522585653,0.9926470588235294,0.0,0.0,0.0,0.7275720164609053,0.01917090460779781,0.007306718311156395
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.7865279061453683,0.11981566820276497,0.005208333333333333,1.0,0.010362694300518135,0.16666666666666663,0.0053475935828877,0.2662992786753854,0.9926470588235294,0.0,0.0,0.0,0.7283950617283951,0.01924140983787971,0.007306717385905318
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.8475042070661273,0.2488479262672811,0.006097560975609756,1.0,0.012121212121212121,0.3564814814814815,0.00684931506849315,0.29679610080086405,0.9926470588235294,0.0,0.0,0.0,0.6609053497942387,0.03405710264018869,0.007306732214918084
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.8475042070661273,0.2488479262672811,0.006097560975609756,1.0,0.012121212121212121,0.3564814814814815,0.00684931506849315,0.29679610080086405,0.9926470588235294,0.0,0.0,0.0,0.6609053497942387,0.03405710264018869,0.007306732214918084
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7834077051707676,0.25806451612903225,0.006172839506172839,1.0,0.012269938650306749,0.5277777777777778,0.009174311926605505,0.2659214306121021,0.9926470588235294,0.0,0.0,0.0,0.9366255144032921,0.20814307458143072,0.007306706090083006
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7813713380268642,0.2534562211981567,0.006134969325153374,1.0,0.012195121951219513,0.5416666666666666,0.009433962264150943,0.26487010882156403,0.9926470588235294,0.0,0.0,0.0,0.9415637860082304,0.2093698175787728,0.0073067034353574605
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,30,0.3762317603187902,0.8847926267281107,0.0,0.0,0.0,0.8472222222222222,0.025,0.09572497263449173,0.9926470588235294,0.0,0.0,0.0,0.2650205761316872,0.006525216792996811,0.007309468344980003
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,30,0.3762317603187902,0.8847926267281107,0.0,0.0,0.0,0.8472222222222222,0.025,0.09572497263449173,0.9926470588235294,0.0,0.0,0.0,0.2650205761316872,0.006525216792996811,0.007309468344980003
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,23,0.3220062011054584,0.9124423963133641,0.0,0.0,0.0,0.888888888888889,0.03225806451612903,0.07791811207969827,0.9926470588235294,0.0,0.0,0.0,0.3448559670781893,0.007185046209436454,0.007309134751055405
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,23,0.31707722161497387,0.9078341013824884,0.0,0.0,0.0,0.8842592592592593,0.03125,0.08060877188979214,0.9926470588235294,0.0,0.0,0.0,0.3292181069958847,0.007003222753690924,0.00730917208719879
2,3,0,963,217,408,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.6371331300054278,0.7511520737327189,0.0,0.0,0.0,0.6527777777777778,0.012195121951219513,0.190011169265523,0.9926470588235294,0.0,0.0,0.0,0.7390946502057614,0.05859957943291277,0.007305947760894511
2,3,0,963,217,408,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.6371331300054278,0.7511520737327189,0.0,0.0,0.0,0.6527777777777778,0.012195121951219513,0.190011169265523,0.9926470588235294,0.0,0.0,0.0,0.7390946502057614,0.05859957943291277,0.007305947760894511
2,3,0,963,217,408,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,17,0.5767495738608497,0.7557603686635944,0.0,0.0,0.0,0.5833333333333334,0.010309278350515464,0.15781648946675103,0.9926470588235294,0.0,0.0,0.0,0.8049382716049382,0.04505237747215024,0.00730602340228709
2,3,0,963,217,408,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.9099199346133641,0.41935483870967744,0.0,0.0,0.0,0.29166666666666663,0.00625,0.3125801376615116,0.9926470588235294,0.0,0.0,0.0,0.48148148148148145,0.012985934631793015,0.007306427487506828
