algo,threshold,input_length_days,washout_days,v1_best_pr_auc,v1_best_roc_auc,v2_pr_auc,v2_pr_auc_lo95,v2_pr_auc_hi95,v2_roc_auc,v2_roc_auc_lo95,v2_roc_auc_hi95,pr_auc_delta,roc_auc_delta
rf,4,14,14,,,0.5551801801801801,0.03317656919351835,1.0,0.9338006230529594,0.8015182884748102,1.0,,
rf,3,14,14,,,0.554426925409339,0.024714506172839507,1.0,0.91640625,0.7267715324115916,1.0,,
xgb,3,14,14,,,0.5262291908633372,0.017699115044247787,1.0,0.8750000000000001,0.632546972352025,1.0,,
rf,2,14,14,,,0.5096153846153846,0.008849557522123894,1.0,0.840625,0.646875,1.0,,
xgb,2,14,14,,,0.5045454545454545,0.0043859649122807015,1.0,0.6593749999999999,0.28660436137071654,1.0,,
xgb,3,14,7,,,0.3870481927710844,0.025,1.0,0.936377245508982,0.7822713784731589,1.0,,
xgb,2,7,14,,,0.35171077252071636,0.002881844380403458,1.0,0.6375586854460094,0.022408963585434205,1.0,,
xgb,4,14,7,,,0.3294337606837607,0.027857142857142858,0.9855555555555359,0.9335820895522388,0.8698224852071006,0.999402985074626,,
rf,4,14,7,,,0.32719952867242735,0.015637303149606298,1.0,0.8794776119402985,0.6479728899267817,0.9999999999999999,,
rf,4,14,0,,,0.3160032588454376,0.0114463820163741,1.0,0.8179190751445086,0.5272206303724929,1.0,,
xgb,4,14,14,,,0.29638508371385086,0.013524028670097108,1.0,0.8426791277258566,0.6512345679012346,0.9999999999999999,,
xgb,4,14,0,,,0.2693044327118737,0.008695652173913044,1.0,0.7586705202312138,0.6253633371869625,1.0,,
xgb,2,14,7,,,0.17628205128205127,0.008928571428571428,1.0,0.8443113772455091,0.6610162557767348,1.0,,
xgb,4,7,14,,,0.13287377251652735,0.02934969001450996,0.36687797521038507,0.7702247191011237,0.3212290502793296,0.9817209137175997,,
xgb,2,14,0,,,0.07230392156862744,0.009174311926605505,0.375,0.8453757225433526,0.6801152737752161,0.9884726224783862,,
rf,4,7,14,,,0.06407877111780634,0.009397919545594836,0.25445438969632506,0.707865168539326,0.3984557767023026,0.9693593314763231,,
rf,4,7,0,,,0.05436890292177432,0.007244267965867494,0.19453929932617042,0.6703412073490813,0.2986539457897033,0.964384387324621,,
xgb,2,7,7,,,0.05140746807413474,0.0030864197530864196,0.22823491072292987,0.6675749318801089,0.1192411924119241,0.9776594796863862,,
xgb,3,7,14,,,0.05044920715121329,0.011652010840565058,0.22426529248540109,0.7132394366197183,0.4687949202812127,0.9215686274509803,,
xgb,4,3,14,,,0.05032354078010002,0.008545828458568397,0.20067203221187846,0.6889473684210526,0.38549759329319194,0.9626249094363866,,
rf,4,7,7,,,0.04295543711629181,0.005451938654639554,0.18952008218649227,0.5755434782608695,0.27538166823716753,0.9528301886792452,,
rf,3,14,7,,,0.042243198874296436,0.01578404475220129,0.11219821917796331,0.8181137724550899,0.6413322113468267,0.9136904761904763,,
rf,2,7,14,,,0.040069881201956675,0.0037846626643796458,0.23992594805555367,0.536150234741784,0.2471910112359551,0.9775910364145659,,
rf,2,7,0,,,0.0391780347963622,0.0034129692832764505,0.25,0.4986876640419947,0.2250948952879581,0.9797772411940173,,
rf,2,7,7,,,0.0387302396736359,0.0031446540880503146,0.2313888557095079,0.43869209809264303,0.12806539509536785,0.9809264305177111,,
rf,3,7,14,,,0.03324322120034622,0.006038648825377239,0.17652564933545578,0.5340845070422535,0.303072625698324,0.8049274584687897,,
rf,3,14,0,,,0.033160396921216924,0.0125,0.09501494637817665,0.7882947976878613,0.6724372591641142,0.9111684039785265,,
rf,3,7,0,,,0.033123329514472534,0.0056283913667664305,0.17683414657481816,0.5569553805774278,0.3129729589722338,0.8163620539599652,,
rf,4,3,14,,,0.03252838285062037,0.008084106046754604,0.11672785901453221,0.6610526315789473,0.3515625,0.9217526109660574,,
xgb,2,3,14,,,0.03170234841583156,0.003436426116838488,0.16082417582417585,0.6525945470536499,0.2168055180437538,0.9675415573053371,,
rf,2,3,14,,,0.030455026455026454,0.0040650406504065045,0.14858027659477055,0.6956904133685137,0.3385951756030496,0.9606299212598426,,
xgb,3,14,0,,,0.028750534030037134,0.011628537215604714,0.07115612458947469,0.7622832369942196,0.6275071633237823,0.8607108549471663,,
xgb,4,7,7,,,0.02632869766700181,0.0048590351813150145,0.14217837408124892,0.45108695652173914,0.17567750677506777,0.7618478260869561,,
rf,3,3,14,,,0.02579803451280531,0.004836936109486241,0.11844538902165017,0.5324538258575198,0.17304832969177283,0.8880162885398486,,
rf,4,3,0,,,0.024718220935027638,0.005754832822406489,0.07407764353289943,0.6370370370370371,0.3411196911196911,0.8794289587393035,,
rf,2,14,0,,,0.02402745995423341,0.012210177657332129,0.07544332529436795,0.8280346820809249,0.7579250720461095,0.8933717579250721,,
rf,3,7,7,0.364243286752099,0.7416801948051949,0.023363285654854977,0.004901960784313725,0.10649741000709102,0.5128065395095367,0.3015257784958872,0.7620196244844478,-0.34088000109724403,-0.22887365529565817
lr,4,14,0,,,0.022273861651940466,0.006493506493506494,0.08385031229547299,0.6148843930635838,0.3839817376412081,0.9192482845181371,,
lr,4,14,14,,,0.020785998129967273,0.004883428981348637,0.08333333333333333,0.5085669781931464,0.3055555555555556,0.8969634230503792,,
xgb,2,3,7,,,0.019666934219775514,0.0038022813688212928,0.10167726764261195,0.5720375106564365,0.32061068702290074,0.9440203562340967,,
xgb,3,3,14,,,0.018831145462724408,0.005144932731139628,0.05232685410074926,0.5408970976253299,0.1726749756978198,0.8054973821989527,,
xgb,4,7,0,,,0.018768871428505876,0.005211437776882804,0.060818741143966897,0.5065616797900262,0.18423067167207788,0.8493736687691525,,
