threshold,input_length_days,washout_days,algo,subset,n_features,n_train,n_val,n_test,train_positive,val_positive,test_positive,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
4,14,7,rf,all,427,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.9890710382513661,0.25,0.061929891304347826,0.9882005899705014,0.0,0.0,0.0,0.6638059701492538,0.03109130666206321,0.053512168141592924
4,14,7,rf,smartwatch_only,216,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.12295081967213117,0.005681818181818182,0.04707391304347826,0.9882005899705014,0.0,0.0,0.0,0.764179104477612,0.04848633960047004,0.04627197640117994
4,14,7,rf,smartinhaler_only,86,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.5573770491803278,0.011235955056179775,0.06220015906654373,0.9882005899705014,0.0,0.0,0.0,0.5216417910447761,0.016876214646350318,0.08611661693828705
4,14,7,rf,peakflow_only,131,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.5409836065573771,0.011235955056179775,0.061343438435678556,0.8731563421828908,0.0,0.0,0.0,0.3358208955223881,0.013520386519817124,0.1258443669477002
4,14,7,rf,environment_only,171,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.18579234972677594,0.006666666666666667,0.06552404891304349,0.9882005899705014,0.0,0.0,0.0,0.4425373134328358,0.013933900798654898,0.04697964601769911
4,14,7,rf,no_smartwatch,270,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.6420765027322405,0.013888888888888888,0.055154755434782606,0.9882005899705014,0.0,0.0,0.0,0.5041044776119403,0.014462204255705846,0.07285022123893804
4,14,7,rf,no_smartinhaler,400,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.9262295081967213,0.06666666666666667,0.08085271739130434,0.9882005899705014,0.0,0.0,0.0,0.6537313432835821,0.03013219092228526,0.05958665191740413
4,14,7,rf,no_peakflow,355,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.6994535519125683,0.017543859649122806,0.06884008152173912,0.9882005899705014,0.0,0.0,0.0,0.6944029850746268,0.051761180058580186,0.03985833333333333
4,14,7,rf,no_environment,315,671,184,339,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.11475409836065575,0.006097560975609756,0.042956793478260875,0.9882005899705014,0.0,0.0,0.0,0.6529850746268657,0.02886839033316507,0.061985693215339234
3,14,0,rf,all,427,710,184,350,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.9836065573770492,0.25,0.06714926930399372,0.9885714285714285,0.0,0.0,0.0,0.37427745664739887,0.01085234165876749,0.05654968602288392
