threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
3,14,14,616,184,324,48,1,4,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,9,0.6044247460862001,0.7554347826086957,0.021739130434782608,1.0,0.0425531914893617,1.0,1.0,0.18356636052883504,0.9876543209876543,0.0,0.0,0.0,0.9,0.16121894409937887,0.012184752958549335
2,14,7,664,184,336,51,1,2,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,6,0.857581208149592,0.6630434782608695,0.015873015873015872,1.0,0.03125,1.0,1.0,0.26282430255381173,0.9940476190476191,0.0,0.0,0.0,0.6736526946107784,0.016792929292929294,0.00590967451485455
3,14,0,710,184,350,48,1,4,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,10,0.7029430121183395,0.6032608695652174,0.013513513513513514,1.0,0.02666666666666667,1.0,1.0,0.25065403989875074,0.9885714285714285,0.0,0.0,0.0,0.509393063583815,0.014777307946560425,0.011339766731327803
3,14,7,665,184,338,48,1,4,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,10,0.5051010735332966,0.8097826086956522,0.027777777777777776,1.0,0.05405405405405406,0.9890710382513661,0.3333333333333333,0.14493777859199602,0.9881656804733728,0.0,0.0,0.0,0.9416167664670658,0.1862012987012987,0.011672324313641918
4,14,14,622,184,325,50,1,4,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,11,0.727663166821003,0.7934782608695652,0.02564102564102564,1.0,0.05,0.9890710382513661,0.3333333333333333,0.17250686058820872,0.9876923076923076,0.0,0.0,0.0,0.8372274143302181,0.053282376780499435,0.012147006978038537
3,14,0,710,184,350,48,1,4,72,42,cnn,dropout=0.2,,,0.2,4,0.1758594090739886,0.9456521739130435,0.09090909090909091,1.0,0.16666666666666666,0.9836065573770492,0.25,0.03928412890288041,0.9885714285714285,0.0,0.0,0.0,0.8735549132947977,0.11979716800612322,0.011317855944026772
4,14,0,712,184,350,50,1,4,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,16,0.4560435277720292,0.7717391304347826,0.023255813953488372,1.0,0.045454545454545456,0.9836065573770492,0.25,0.1535058092249903,0.9885714285714285,0.0,0.0,0.0,0.7391618497109826,0.28008006486267356,0.011315764816662506
4,14,7,671,184,339,50,1,4,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,10,0.5991223057111105,0.7554347826086957,0.021739130434782608,1.0,0.0425531914893617,0.9836065573770492,0.25,0.17330220348025854,0.9882005899705014,0.0,0.0,0.0,0.9492537313432836,0.1603317659352142,0.0116446343684173
4,7,0,856,203,386,51,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,22,0.28473581054380964,0.9359605911330049,0.07142857142857142,1.0,0.13333333333333333,0.9826732673267327,0.16666666666666666,0.05588890042934578,0.9870466321243523,0.0,0.0,0.0,0.7900262467191601,0.11306010928961749,0.012779704838491649
3,7,7,777,203,372,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,14,0.27195850467043264,0.9556650246305419,0.1,1.0,0.18181818181818182,0.9678217821782178,0.1111111111111111,0.03653982782002854,0.9865591397849462,0.0,0.0,0.0,0.8828337874659401,0.6548076923076922,0.013282426512208987
