threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.7964123487472534,0.35023041474654376,0.0,0.0,0.0,0.2314814814814815,0.005780346820809248,0.2703678840897821,0.9926470588235294,0.0,0.0,0.0,0.4699588477366255,0.00988339594477702,0.007306765488228037
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.7964123487472534,0.35023041474654376,0.0,0.0,0.0,0.2314814814814815,0.005780346820809248,0.2703678840897821,0.9926470588235294,0.0,0.0,0.0,0.4699588477366255,0.00988339594477702,0.007306765488228037
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7593232137816293,0.3778801843317972,0.0,0.0,0.0,0.29166666666666663,0.00625,0.2525765318802379,0.9926470588235294,0.0,0.0,0.0,0.4139917695473251,0.00799715582324278,0.007306677818040906
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7576143656458173,0.39631336405529954,0.0,0.0,0.0,0.2962962962962963,0.006289308176100629,0.2516870379566719,0.9926470588235294,0.0,0.0,0.0,0.37777777777777777,0.007528977761009453,0.007306674368271627
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.8947495477540153,0.12442396313364056,0.005235602094240838,1.0,0.010416666666666666,0.21296296296296297,0.005649717514124294,0.319704632701323,0.9926470588235294,0.0,0.0,0.0,0.7917695473251029,0.12543859649122807,0.007306572340293411
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.8947495477540153,0.12442396313364056,0.005235602094240838,1.0,0.010416666666666666,0.21296296296296297,0.005649717514124294,0.319704632701323,0.9926470588235294,0.0,0.0,0.0,0.7917695473251029,0.12543859649122807,0.007306572340293411
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.7868862066950116,0.12442396313364056,0.005235602094240838,1.0,0.010416666666666666,0.16203703703703703,0.005319148936170213,0.26642262903331987,0.9926470588235294,0.0,0.0,0.0,0.7020576131687243,0.017517962265661408,0.007306716919628833
2,3,0,963,217,408,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.7855550391333443,0.11981566820276497,0.005208333333333333,1.0,0.010362694300518135,0.16666666666666663,0.0053475935828877,0.2657544813257876,0.9926470588235294,0.0,0.0,0.0,0.7004115226337448,0.01720508838830575,0.007306715476546818
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.8475041900362287,0.2488479262672811,0.006097560975609756,1.0,0.012121212121212121,0.3564814814814815,0.00684931506849315,0.29679610179101984,0.9926470588235294,0.0,0.0,0.0,0.6609053497942387,0.03405710264018869,0.007306732214880087
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.8475041900362287,0.2488479262672811,0.006097560975609756,1.0,0.012121212121212121,0.3564814814814815,0.00684931506849315,0.29679610179101984,0.9926470588235294,0.0,0.0,0.0,0.6609053497942387,0.03405710264018869,0.007306732214880087
