sensor_tag,threshold,input_length_days,washout_days,n_features,n_train,n_val,n_test,train_users,val_users,test_users,train_positive,val_positive,test_positive,seed,algo,params,param_C,param_class_weight,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,param_n_estimators,param_max_depth,param_min_samples_leaf,param_learning_rate,param_subsample,param_scale_pos_weight
all,4,14,7,427,671,184,339,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=200,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9890710382513661,0.25,0.061929891304347826,200.0,,1.0,,,
all,3,14,0,427,710,184,350,11,3,4,48,1,4,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9836065573770492,0.25,0.06714926930399372,500.0,10.0,1.0,,,
all,2,14,0,427,713,184,348,11,3,4,51,1,2,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9782608695652174,0.0,0.0,0.0,0.9781420765027322,0.2,0.10429431855986836,500.0,6.0,1.0,,,
all,3,14,7,427,665,184,338,11,3,4,48,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=200,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9071038251366119,0.05555555555555555,0.09204325384992677,200.0,6.0,1.0,,,
all,4,14,0,427,712,184,350,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=5;n_estimators=500,,balanced,0.9891304347826086,0.0,0.0,0.0,0.8852459016393441,0.045454545454545456,0.11280380163789969,500.0,6.0,5.0,,,
all,4,3,0,427,962,217,410,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.8935185185185185,0.03571428571428571,0.0215384048517157,200.0,10.0,1.0,,,
all,4,14,0,427,712,184,350,11,3,4,50,1,4,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.7608695652173914,0.022222222222222223,1.0,0.043478260869565216,0.8469945355191256,0.034482758620689655,0.16315887436225876,200.0,6.0,,0.05,0.7,auto
all,3,14,0,427,710,184,350,11,3,4,48,1,4,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.592391304347826,0.013157894736842105,1.0,0.025974025974025976,0.819672131147541,0.029411764705882353,0.27062710636103054,200.0,6.0,,0.05,0.7,auto
all,2,14,7,427,664,184,336,11,3,4,51,1,2,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9836956521739131,0.0,0.0,0.0,0.7814207650273224,0.024390243902439025,0.09270851810184164,500.0,10.0,1.0,,,
all,3,7,7,427,777,203,372,13,3,4,49,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.7772277227722773,0.02127659574468085,0.03802123721161539,500.0,10.0,1.0,,,
