sensor_tag,threshold,input_length_days,washout_days,n_features,n_train,n_val,n_test,train_users,val_users,test_users,train_positive,val_positive,test_positive,seed,algo,params,param_C,param_class_weight,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,param_n_estimators,param_max_depth,param_min_samples_leaf,param_learning_rate,param_subsample,param_scale_pos_weight
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=0.01;class_weight=None,0.01,,0.9815668202764977,0.0,0.0,0.0,0.06481481481481477,0.0049261083743842365,0.022957928971885012,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=0.01;class_weight=balanced,0.01,balanced,0.7188940092165899,0.0,0.0,0.0,0.12962962962962965,0.0051813471502590676,0.19584281366089096,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=0.1;class_weight=None,0.1,,0.9354838709677419,0.0,0.0,0.0,0.16203703703703703,0.005376344086021506,0.05604798893030099,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=0.1;class_weight=balanced,0.1,balanced,0.7880184331797235,0.0,0.0,0.0,0.17592592592592593,0.00558659217877095,0.15780524206510335,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=1.0;class_weight=None,1.0,,0.8663594470046083,0.0,0.0,0.0,0.2314814814814815,0.005988023952095809,0.10749804137304256,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=1.0;class_weight=balanced,1.0,balanced,0.7972350230414746,0.0,0.0,0.0,0.24074074074074076,0.005917159763313609,0.1705030960869996,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=10.0;class_weight=None,10.0,,0.8525345622119815,0.0,0.0,0.0,0.21759259259259262,0.005747126436781609,0.13495784442252104,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.8018433179723502,0.0,0.0,0.0,0.25462962962962965,0.006024096385542169,0.18399854780394065,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=None;min_samples_leaf=1;n_estimators=200,,,0.9861751152073732,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.05251892074448338,200.0,,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.3148148148148148,0.006535947712418301,0.019870111627682072,200.0,,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=None;min_samples_leaf=5;n_estimators=200,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.02624680043721319,200.0,,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=5;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.3888888888888889,0.0072992700729927005,0.0325691954198478,200.0,,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=6;min_samples_leaf=1;n_estimators=200,,,0.9953917050691244,0.0,0.0,0.0,0.02314814814814814,0.004629629629629629,0.03733329713623965,200.0,6.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.6574074074074073,0.012658227848101266,0.06729091141551079,200.0,6.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=6;min_samples_leaf=5;n_estimators=200,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.023599509005846304,200.0,6.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=5;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.6388888888888888,0.012048192771084338,0.06965855054725265,200.0,6.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=10;min_samples_leaf=1;n_estimators=200,,,0.9861751152073732,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.049329220250599284,200.0,10.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7175925925925926,0.015151515151515152,0.03255017205421194,200.0,10.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=10;min_samples_leaf=5;n_estimators=200,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.02615847928853902,200.0,10.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=5;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.5231481481481481,0.009259259259259259,0.03950788329985277,200.0,10.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=None;min_samples_leaf=1;n_estimators=500,,,0.9861751152073732,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.051284105559247256,500.0,,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.5879629629629629,0.010638297872340425,0.018946101129543216,500.0,,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=None;min_samples_leaf=5;n_estimators=500,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.02420963122722898,500.0,,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=5;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.42592592592592593,0.007751937984496124,0.035991486743148976,500.0,,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=6;min_samples_leaf=1;n_estimators=500,,,0.9953917050691244,0.0,0.0,0.0,0.02314814814814814,0.004629629629629629,0.03647582202200772,500.0,6.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.6666666666666666,0.012987012987012988,0.06871139134218049,500.0,6.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=6;min_samples_leaf=5;n_estimators=500,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.021750127084975257,500.0,6.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=5;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.6805555555555555,0.013513513513513514,0.07305646496472132,500.0,6.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=10;min_samples_leaf=1;n_estimators=500,,,0.9907834101382489,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.048404690946873934,500.0,10.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7268518518518519,0.015625,0.031078673532201433,500.0,10.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=None;max_depth=10;min_samples_leaf=5;n_estimators=500,,,0.9953917050691244,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.023807820563051696,500.0,10.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=5;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.6620370370370372,0.01282051282051282,0.04244746308987508,500.0,10.0,5.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9953917050691244,0.0,0.0,0.0,0.20370370370370372,0.005649717514124294,0.01412510411766733,200.0,3.0,,0.05,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9539170506912442,0.0,0.0,0.0,0.25,0.005988023952095809,0.03439670844447461,200.0,3.0,,0.05,0.7,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.3472222222222222,0.00684931506849315,0.009756376042124988,200.0,3.0,,0.05,1.0,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9400921658986175,0.0,0.0,0.0,0.2916666666666667,0.006329113924050633,0.04078892383668431,200.0,3.0,,0.05,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9953917050691244,0.0,0.0,0.0,0.15740740740740738,0.0053475935828877,0.009810513125983208,200.0,3.0,,0.1,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9539170506912442,0.0,0.0,0.0,0.25462962962962965,0.006024096385542169,0.03049839251193297,200.0,3.0,,0.1,0.7,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.3101851851851852,0.006493506493506494,0.008321777745595964,200.0,3.0,,0.1,1.0,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9631336405529954,0.0,0.0,0.0,0.25925925925925924,0.006060606060606061,0.028080173186211258,200.0,3.0,,0.1,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9769585253456221,0.0,0.0,0.0,0.02314814814814814,0.004629629629629629,0.021158437943446493,200.0,6.0,,0.05,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9216589861751152,0.0,0.0,0.0,0.018518518518518545,0.004608294930875576,0.04502824289950169,200.0,6.0,,0.05,0.7,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9769585253456221,0.0,0.0,0.0,0.04629629629629628,0.004739336492890996,0.019434841477798885,200.0,6.0,,0.05,1.0,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9308755760368663,0.0,0.0,0.0,0.06944444444444442,0.0048543689320388345,0.04401039717818,200.0,6.0,,0.05,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9723502304147466,0.0,0.0,0.0,0.05555555555555558,0.004784688995215311,0.015909497092401893,200.0,6.0,,0.1,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9262672811059908,0.0,0.0,0.0,0.037037037037037035,0.004694835680751174,0.052541537762146324,200.0,6.0,,0.1,0.7,auto
